Adresse,Smartscore,Win Rate,Markets,Realized PnL,Latest Activity Type,Latest Market,Latest Value,Latest Date,Positions Count,Active Orders Count,Recent Trades Count,Total Position Value,Largest Position Market,Largest Position Value,Most Recent Trade Market,Most Recent Trade Value,Most Recent Trade Date,Most Recent Order Market,Most Recent Order Value,Most Recent Order Date,Analysis Date,Bucket smart,Bucket last date
0x6619a973200dbfe778fe03458e3accfec9329314,12.81427814,0.64,50,12302.001,trade,Market 0xd5663683...,$1997.50,2025-10-13 15:08:37,38,0,20,$0.00,No positions,$0.00,Market 0xd5663683...,$1997.50,2025-10-13 15:08:37,No orders,$0.00,N/A,2025-10-15T13:14:54.322985+00:00,Very Smart,daily trader
0x6619a973200dbfe778fe03458e3accfec9329314,12.81427814,0.64,50,12302.001,trade,Market 0xd5663683...,$1997.50,2025-10-13 15:08:37,38,0,20,$0.00,No positions,$0.00,Market 0xd5663683...,$1997.50,2025-10-13 15:08:37,No orders,$0.00,N/A,2025-10-15T13:19:15.914663+00:00,Very Smart,daily trader
0xca0008661f6be1c9a44d49022528d301c4812b9d,11.27846471,0.89,100,22653.86914,trade,Market 0xe91578c2...,$7221.00,2025-10-13 14:42:55,15,0,20,$0.00,No positions,$0.00,Market 0xe91578c2...,$7221.00,2025-10-13 14:42:55,No orders,$0.00,N/A,2025-10-15T13:09:37.590164+00:00,Very Smart,daily trader
0xca0008661f6be1c9a44d49022528d301c4812b9d,11.27846471,0.89,100,22653.86914,trade,Market 0xe91578c2...,$7221.00,2025-10-13 14:42:55,15,0,20,$0.00,No positions,$0.00,Market 0xe91578c2...,$7221.00,2025-10-13 14:42:55,No orders,$0.00,N/A,2025-10-15T13:15:30.258636+00:00,Very Smart,daily trader
0xca0008661f6be1c9a44d49022528d301c4812b9d,11.27846471,0.89,100,22653.86914,trade,Market 0xe91578c2...,$7221.00,2025-10-13 14:42:55,15,0,20,$0.00,No positions,$0.00,Market 0xe91578c2...,$7221.00,2025-10-13 14:42:55,No orders,$0.00,N/A,2025-10-15T13:19:51.667330+00:00,Very Smart,daily trader
0x298de4fc45da560633898d44c9250e152ed9fb9e,14.61749387,0.6052631579,38,7525.088236,trade,Market 0xe9c84564...,$300.00,2025-10-13 14:24:59,5,0,20,$0.00,No positions,$0.00,Market 0xe9c84564...,$300.00,2025-10-13 14:24:59,No orders,$0.00,N/A,2025-10-15T13:18:43.343468+00:00,Very Smart,daily trader
0x672b0322b5dea83c4567cb386975a5dc487d43bd,13.71064008,0.8367346939,49,24893.16948,trade,Market 0x9fadef0b...,$4900.51,2025-10-13 14:14:03,1,0,20,$0.00,No positions,$0.00,Market 0x9fadef0b...,$4900.51,2025-10-13 14:14:03,No orders,$0.00,N/A,2025-10-15T13:18:55.687387+00:00,Very Smart,daily trader
0x6855f8751455e99415c47737bf3b9af677e75de1,13.93092967,0.612244898,49,13802.52224,trade,Market 0x5659b77c...,$3994.00,2025-10-13 14:03:15,30,0,20,$0.00,No positions,$0.00,Market 0x5659b77c...,$3994.00,2025-10-13 14:03:15,No orders,$0.00,N/A,2025-10-15T13:18:51.961985+00:00,Very Smart,daily trader
0xee6e9adbe3be331a4c06a7af82f0c1da920d4a3c,16.20952054,0.6923076923,13,26014,trade,Market 0x2d765bcc...,$13000.00,2025-10-13 13:25:07,4,0,8,$0.00,No positions,$0.00,Market 0x2d765bcc...,$13000.00,2025-10-13 13:25:07,No orders,$0.00,N/A,2025-10-15T13:18:14.347118+00:00,Very Smart,daily trader
0x595319bd0d8f6d75b97f5f51ee78a3e7821f01bb,11.22444317,0.5625,16,22869.62,trade,Market 0xa216bbc9...,$5.00,2025-10-13 13:18:27,7,0,13,$0.00,No positions,$0.00,Market 0xa216bbc9...,$5.00,2025-10-13 13:18:27,No orders,$0.00,N/A,2025-10-15T13:15:32.490499+00:00,Very Smart,daily trader
0x595319bd0d8f6d75b97f5f51ee78a3e7821f01bb,11.22444317,0.5625,16,22869.62,trade,Market 0xa216bbc9...,$5.00,2025-10-13 13:18:27,7,0,13,$0.00,No positions,$0.00,Market 0xa216bbc9...,$5.00,2025-10-13 13:18:27,No orders,$0.00,N/A,2025-10-15T13:19:53.719087+00:00,Very Smart,daily trader
0xe2648fd4b351cc5deb9525feeb246979a8507a75,15.91221902,0.625,16,15738.52445,trade,Market 0xb7f9d3f6...,$190.15,2025-10-13 12:08:29,11,0,20,$0.00,No positions,$0.00,Market 0xb7f9d3f6...,$190.15,2025-10-13 12:08:29,No orders,$0.00,N/A,2025-10-15T13:18:17.729133+00:00,Very Smart,daily trader
0xf10070d3551e059cab71862c03ed70b28cf17576,11.59110291,0.5714285714,14,20179,trade,Market 0x3e205b35...,$10111.50,2025-10-13 12:03:29,6,0,7,$0.00,No positions,$0.00,Market 0x3e205b35...,$10111.50,2025-10-13 12:03:29,No orders,$0.00,N/A,2025-10-15T13:15:19.107377+00:00,Very Smart,daily trader
0xf10070d3551e059cab71862c03ed70b28cf17576,11.59110291,0.5714285714,14,20179,trade,Market 0x3e205b35...,$10111.50,2025-10-13 12:03:29,6,0,7,$0.00,No positions,$0.00,Market 0x3e205b35...,$10111.50,2025-10-13 12:03:29,No orders,$0.00,N/A,2025-10-15T13:19:40.680232+00:00,Very Smart,daily trader
0x9f1629a2f5a6b0c980a74761fe335b17c3161f5c,15.81300502,0.6724137931,58,15629.06244,trade,Market 0x48d673bf...,$2500.00,2025-10-13 10:05:09,33,0,20,$0.00,No positions,$0.00,Market 0x48d673bf...,$2500.00,2025-10-13 10:05:09,No orders,$0.00,N/A,2025-10-15T13:18:18.749824+00:00,Very Smart,daily trader
0x519f45069e7b79ae18fa7515a1e1c9ea20f0f189,12.93998917,0.6296296296,27,9249.8,trade,Market 0xff8c106b...,$2000.00,2025-10-13 09:19:41,8,0,20,$0.00,No positions,$0.00,Market 0xff8c106b...,$2000.00,2025-10-13 09:19:41,No orders,$0.00,N/A,2025-10-15T13:14:51.875728+00:00,Very Smart,daily trader
0x519f45069e7b79ae18fa7515a1e1c9ea20f0f189,12.93998917,0.6296296296,27,9249.8,trade,Market 0xff8c106b...,$2000.00,2025-10-13 09:19:41,8,0,20,$0.00,No positions,$0.00,Market 0xff8c106b...,$2000.00,2025-10-13 09:19:41,No orders,$0.00,N/A,2025-10-15T13:19:13.570763+00:00,Very Smart,daily trader
