User,Adresse,Smartscore,Win Rate,Markets,Realized PnL,Latest Activity Type,Latest Market,Latest Value,Latest Date,Positions Count,Active Orders Count,Recent Trades Count,Total Position Value,Largest Position Market,Largest Position Value,Most Recent Trade Market,Most Recent Trade Value,Most Recent Trade Date,Most Recent Order Market,Most Recent Order Value,Most Recent Order Date,Analysis Date,Bucket smart,Bucket last date
https://hashdive.com/Analyze_User?user_address=0xb7a5cfb0460d603d76682e5672d320b8c64e192e,0x052c6312a485d494f4b0b0bed1b834c09bd85a0e,2.274599897,0.5949367089,79,18088.81376,trade,Market 0x5f378adb...,$7277.71,2025-10-14 23:36:47,15,0,20,$0.00,No positions,$0.00,Market 0x5f378adb...,$7277.71,2025-10-14 23:36:47,No orders,$0.00,N/A,2025-10-15T13:14:09.598151+00:00,Smart,daily trader
https://hashdive.com/Analyze_User?user_address=0x39d0f1dca6fb7e5514858c1a337724a426764fe8,0x5c602835e727c15c3fbcb03039a45dcc55b767c1,2.967886699,0.92147806,433,10903.74046,trade,Market 0xf4e97cc9...,$9.63,2025-10-14 23:35:19,36,0,20,$0.00,No positions,$0.00,Market 0xf4e97cc9...,$9.63,2025-10-14 23:35:19,No orders,$0.00,N/A,2025-10-15T13:06:04.057833+00:00,Smart,daily trader
https://hashdive.com/Analyze_User?user_address=0x84dd457df4063f0a39581e36b94c513838708701,0x06ecb7e739f5455922ce57e83284f132c7f0f845,2.657994251,0.6085672083,1354,107220.5867,trade,Market 0x5b7c0024...,$103.72,2025-10-14 23:27:11,100,0,20,$0.00,No positions,$0.00,Market 0x5b7c0024...,$103.72,2025-10-14 23:27:11,No orders,$0.00,N/A,2025-10-15T13:04:28.458254+00:00,Smart,daily trader
https://hashdive.com/Analyze_User?user_address=0x76f1ac3b8c2721ba3ed74349ec44b55abe28bc8f,0x4ad20dedd07a47c3fc50b423d4558be3490c54bd,3.520409113,0.6818181818,22,14430.17154,trade,Market 0x10a835e6...,$267.15,2025-10-14 23:03:07,1,0,20,$0.00,No positions,$0.00,Market 0x10a835e6...,$267.15,2025-10-14 23:03:07,No orders,$0.00,N/A,2025-10-15T13:12:14.521912+00:00,Smart,daily trader
https://hashdive.com/Analyze_User?user_address=0x660622caad009a8cc1f38038c0913be658621338,0x6c743aafd813475986dcd930f380a1f50901bd4e,3.377753092,0.6181818182,110,17569.44868,trade,Market 0xbb516128...,$200.00,2025-10-14 23:00:23,4,0,20,$0.00,No positions,$0.00,Market 0xbb516128...,$200.00,2025-10-14 23:00:23,No orders,$0.00,N/A,2025-10-15T13:09:00.733526+00:00,Smart,daily trader
https://hashdive.com/Analyze_User?user_address=0x3de2e890c758a13eb23afa4faee3bd49e68c0c64,0x70206b375d931aaaf99392187d89d0e2735cfd20,36.17278243,0.6923076923,26,33463.4661,trade,Market 0x8ca1944b...,$1407.04,2025-10-14 22:52:55,0,0,20,$0.00,No positions,$0.00,Market 0x8ca1944b...,$1407.04,2025-10-14 22:52:55,No orders,$0.00,N/A,2025-10-15T13:17:21.201046+00:00,Very Smart,daily trader
https://hashdive.com/Analyze_User?user_address=0xce77d3df0932478448e9562a7e1ccca7b6b735d5,0xd748c701ad93cfec32a3420e10f3b08e68612125,3.139891429,0.7317073171,164,103785.9437,trade,Market 0xe76e9507...,$9.36,2025-10-14 22:50:47,31,0,20,$0.00,No positions,$0.00,Market 0xe76e9507...,$9.36,2025-10-14 22:50:47,No orders,$0.00,N/A,2025-10-15T13:07:48.407154+00:00,Smart,daily trader
https://hashdive.com/Analyze_User?user_address=0x42204af33840917883ebd991a4589a558cc1f5b1,0xd748c701ad93cfec32a3420e10f3b08e68612125,3.139891429,0.7317073171,164,103785.9437,trade,Market 0xe76e9507...,$9.36,2025-10-14 22:50:47,31,0,20,$0.00,No positions,$0.00,Market 0xe76e9507...,$9.36,2025-10-14 22:50:47,No orders,$0.00,N/A,2025-10-15T13:12:40.364358+00:00,Smart,daily trader
https://hashdive.com/Analyze_User?user_address=0x4ba4466ba485e8c18948a0a80ce4c9db05718a89,0xb410255a64fd72acdb7e57b8f65999865a017736,11.69848136,0.5717415115,913,23551.08232,trade,Market 0xc30407cd...,$841.50,2025-10-14 22:47:59,82,0,20,$0.00,No positions,$0.00,Market 0xc30407cd...,$841.50,2025-10-14 22:47:59,No orders,$0.00,N/A,2025-10-15T13:04:57.974163+00:00,Very Smart,daily trader
https://hashdive.com/Analyze_User?user_address=0x993f451b6d5c21996b1bf688493cea9c4c823ee3,0xb410255a64fd72acdb7e57b8f65999865a017736,11.69848136,0.5717415115,913,23551.08232,trade,Market 0xc30407cd...,$841.50,2025-10-14 22:47:59,82,0,20,$0.00,No positions,$0.00,Market 0xc30407cd...,$841.50,2025-10-14 22:47:59,No orders,$0.00,N/A,2025-10-15T13:15:17.617426+00:00,Very Smart,daily trader
